scenario,packet_num,rtt_ms
s1_h1_to_h3,1,1117.0
s1_h1_to_h3,2,611.0
s1_h1_to_h3,3,107.0
s1_h1_to_h3,4,25.0
s1_h1_to_h3,5,24.3
s1_h1_to_h3,6,24.1
s1_h1_to_h3,7,24.2
s1_h1_to_h3,8,24.3
s1_h1_to_h3,9,24.1
s1_h1_to_h3,10,24.1
s1_h1_to_h3,11,24.1
s1_h1_to_h3,12,24.1
s1_h1_to_h3,13,24.1
s1_h1_to_h3,14,24.2
s1_h1_to_h3,15,24.4
s1_h1_to_h3,16,24.1
s1_h1_to_h3,17,24.2
s1_h1_to_h3,18,24.2
s1_h1_to_h3,19,24.1
s1_h1_to_h3,20,24.1
s2_h1_to_h3,1,24.4
s2_h1_to_h3,2,24.1
s2_h1_to_h3,3,24.1
s2_h1_to_h3,4,24.1
s2_h1_to_h3,5,24.1
s2_h1_to_h3,6,24.1
s2_h1_to_h3,7,24.1
s2_h1_to_h3,8,24.1
s2_h1_to_h3,9,24.2
s2_h1_to_h3,10,24.3
s2_h1_to_h3,11,24.1
s2_h1_to_h3,12,24.1
s2_h1_to_h3,13,24.2
s2_h1_to_h3,14,24.2
s2_h1_to_h3,15,24.1
